ID,Label,Category,Place,"Lat., Long.",PublisherType,Affiliation,Gender
Sterling/Silver Oak,Sterling/Silver Oak,Publisher,,,,,
Stockholm Text,Stockholm Text,Publisher,,,,,
Stone Bridge Press,Stone Bridge Press,Publisher,,,,,
Stork Press,Stork Press,Publisher,,,,,
Strategic Book Publishing,Strategic Book Publishing,Publisher,,,,,
Swan Isle Press,Swan Isle Press,Publisher,,,,,
Sylph Editions,Sylph Editions,Publisher,,,,,
Syracuse University Press,Syracuse University Press,Publisher,,,,,
Tafelberg,Tafelberg,Publisher,,,,,
Tagus Press,Tagus Press,Publisher,,,,,
Talisman House,Talisman House,Publisher,,,,,
Talonbooks,Talonbooks,Publisher,,,,,
Tam Tam Books,Tam Tam Books,Publisher,,,,,
Tartarus,Tartarus,Publisher,,,,,
Tavern Books,Tavern Books,Publisher,,,,,
Telegram,Telegram,Publisher,,,,,
Texas Tech University Press,Texas Tech University Press,Publisher,,,,,
Thames River Press,Thames River Press,Publisher,,,,,
Thomas Dunne,Thomas Dunne,Publisher,,,,,
Three O'Clock Press,Three O'Clock Press,Publisher,,,,,
Tin House,Tin House,Publisher,,,,,
Toby Press,Toby Press,Publisher,,,,,
Tor,Tor,Publisher,,,,,
Troubador,Troubador,Publisher,,,,,
Tsar Publications,Tsar Publications,Publisher,,,,,
Tupelo Press,Tupelo Press,Publisher,,,,,
Tuttle,Tuttle,Publisher,,,,,
Twisted Spoon Press,Twisted Spoon Press,Publisher,,,,,
Two Lines Press,Two Lines Press,Publisher,,,,,
Ugly Duckling,Ugly Duckling,Publisher,,,,,
University of Arizona Press,University of Arizona Press,Publisher,,,,,
University of California Press,University of California Press,Publisher,,,,,
University of Chicago,University of Chicago,Publisher,,,,,
University of Hawaii Press,University of Hawaii Press,Publisher,,,,,
University of Illinois,University of Illinois,Publisher,,,,,
University of Michigan Press,University of Michigan Press,Publisher,,,,,
University of Minnesota Press,University of Minnesota Press,Publisher,,,,,
University of Nebraska,University of Nebraska,Publisher,,,,,
University of New Orleans Press,University of New Orleans Press,Publisher,,,,,
University of Oklahoma Press,University of Oklahoma Press,Publisher,,,,,
University of Texas,University of Texas,Publisher,,,,,
University of Virginia Press,University of Virginia Press,Publisher,,,,,
University of Western Australia,University of Western Australia,Publisher,,,,,
University of Wisconsin,University of Wisconsin,Publisher,,,,,
UNO Press,UNO Press,Publisher,,,,,
Verso,Verso,Publisher,,,,,
Vertical,Vertical,Publisher,,,,,
Viking,Viking,Publisher,,,,,
Vintage,Vintage,Publisher,,,,,
Viz Media,Viz Media,Publisher,,,,,
W.W. Norton,W.W. Norton,Publisher,,,,,
Wakefield Press,Wakefield Press,Publisher,,,,,
Wave Books,Wave Books,Publisher,,,,,
Weidenfeld & Nicolson,Weidenfeld & Nicolson,Publisher,,,,,
Weinstein Books,Weinstein Books,Publisher,,,,,
Wesleyan University Press,Wesleyan University Press,Publisher,,,,,
Whereabouts Press,Whereabouts Press,Publisher,,,,,
White Pine,White Pine,Publisher,,,,,
William Morrow,William Morrow,Publisher,,,,,
Wings,Wings,Publisher,,,,,
Word Works,Word Works,Publisher,,,,,
Xenos Books,Xenos Books,Publisher,,,,,
Yale University Press,Yale University Press,Publisher,,,,,
Zephyr Press,Zephyr Press,Publisher,,,,,
