ID,Label,Category,Place,"Lat., Long.",PubType,Affiliation,Gender
"Bienczyk, Marek","Bienczyk, Marek",Author,,,,,
"Bierlein, Stacy","Bierlein, Stacy",Author,,,,,
"Bilenchi, Romano","Bilenchi, Romano",Author,,,,,
"Biller, Maxim","Biller, Maxim",Author,,,,,
"Binebine, Mahi","Binebine, Mahi",Author,,,,,
"Binet, Laurent","Binet, Laurent",Author,,,,,
"Binkert, Dorthe","Binkert, Dorthe",Author,,,,,
"Bioy Casares, Adolfo","Bioy Casares, Adolfo",Author,,,,,
"Birgisson, Bergsveinn","Birgisson, Bergsveinn",Author,,,,,
"Birkegaard, Mikkel","Birkegaard, Mikkel",Author,,,,,
"Birmajer, Marcelo","Birmajer, Marcelo",Author,,,,,
"Birman, Dmitri","Birman, Dmitri",Author,,,,,
"Bisama, Alvaro","Bisama, Alvaro",Author,,,,,
"Bitov, Andrei","Bitov, Andrei",Author,,,,,
"Bizzio, Sergio","Bizzio, Sergio",Author,,,,,
"Bjornstad, Ketil","Bjornstad, Ketil",Author,,,,,
"Blackcrane, Gerelchimeg","Blackcrane, Gerelchimeg",Author,,,,,
"Blaedel, Sara","Blaedel, Sara",Author,,,,,
"Blais, Marie-Claire","Blais, Marie-Claire",Author,,,,,
"Blanco, Alberto","Blanco, Alberto",Author,,,,,
"Blas de Robles, Jean-Marie","Blas de Robles, Jean-Marie",Author,,,,,
"Blasim, Hassan","Blasim, Hassan",Author,,,,,
"Blatnik, Andrej","Blatnik, Andrej",Author,,,,,
"Blecher, Max","Blecher, Max",Author,,,,,
"Blum, Liliana","Blum, Liliana",Author,,,,,
"Bobin, Christian","Bobin, Christian",Author,,,,,
"Bodoc, Lilana","Bodoc, Lilana",Author,,,,,
"Bodor, Adam","Bodor, Adam",Author,,,,,
"Bohman, Therese","Bohman, Therese",Author,,,,,
"Boissard, Janine","Boissard, Janine",Author,,,,,
"Bolano, Roberto","Bolano, Roberto",Author,,,,,
"Bologna, Filippo","Bologna, Filippo",Author,,,,,
"Boltshauser, Patrick","Boltshauser, Patrick",Author,,,,,
"Bonanni, Laudomia","Bonanni, Laudomia",Author,,,,,
"Bonaparte, Napoleon","Bonaparte, Napoleon",Author,,,,,
"Bonelli, Florencia","Bonelli, Florencia",Author,,,,,
"Bonet, Blai","Bonet, Blai",Author,,,,,
"Bonne, Mirko","Bonne, Mirko",Author,,,,,
"Bonnefoy, Yves","Bonnefoy, Yves",Author,,,,,
"Boon, Louis Paul","Boon, Louis Paul",Author,,,,,
"Borders, Words Without","Borders, Words Without",Author,,,,,
"Borinsky, Alicia","Borinsky, Alicia",Author,,,,,
"Bose, Buddhadeva","Bose, Buddhadeva",Author,,,,,
"Bosetzky, Horst","Bosetzky, Horst",Author,,,,,
"Bosquet, Oscarine","Bosquet, Oscarine",Author,,,,,
"Boudjedra, Rachid","Boudjedra, Rachid",Author,,,,,
"Boudjedra, Rashid","Boudjedra, Rashid",Author,,,,,
"Bourguignon, Stephane","Bourguignon, Stephane",Author,,,,,
"Boyd, Brian","Boyd, Brian",Author,,,,,
"Braam, Conny","Braam, Conny",Author,,,,,
"Brambach, Rainer","Brambach, Rainer",Author,,,,,
"Bramness, Hanne","Bramness, Hanne",Author,,,,,
"Brandao, Ignacio de Loyola","Brandao, Ignacio de Loyola",Author,,,,,
"Brando, Masako","Brando, Masako",Author,,,,,
"Brandt, Per Aage","Brandt, Per Aage",Author,,,,,
"Braun, Volker","Braun, Volker",Author,,,,,
"Bravi, Adrian","Bravi, Adrian",Author,,,,,
"Brebel, Sebastien","Brebel, Sebastien",Author,,,,,
"Brecht, Bertolt","Brecht, Bertolt",Author,,,,,
"Breillat, Catherine","Breillat, Catherine",Author,,,,,
"Brekke, Jorgen","Brekke, Jorgen",Author,,,,,
"Brenner, Y. H.","Brenner, Y. H.",Author,,,,,
"Breytenbach, Breyten","Breytenbach, Breyten",Author,,,,,
"Brijs, Stefan","Brijs, Stefan",Author,,,,,
"Brogger, Suzanne","Brogger, Suzanne",Author,,,,,
"Bronsard, Marie","Bronsard, Marie",Author,,,,,
"Bronsky, Alina","Bronsky, Alina",Author,,,,,
"Brossard, Nicole","Brossard, Nicole",Author,,,,,
"Bruckner, Pascal","Bruckner, Pascal",Author,,,,,
"Bruyn, Gunter de","Bruyn, Gunter de",Author,,,,,
"Buarque, Chico","Buarque, Chico",Author,,,,,
"Bugadze, Lasha","Bugadze, Lasha",Author,,,,,
"Bukharin, Nikolai","Bukharin, Nikolai",Author,,,,,
"Bunimovich, Evgeny","Bunimovich, Evgeny",Author,,,,,
"Burchuladze, Zaza","Burchuladze, Zaza",Author,,,,,
"Burman, Carina","Burman, Carina",Author,,,,,
"Burstein, Dror","Burstein, Dror",Author,,,,,
"Buson, Yosa","Buson, Yosa",Author,,,,,
"Busqued, Carlos","Busqued, Carlos",Author,,,,,
"Cabasson, Armand","Cabasson, Armand",Author,,,,,
"Cabral, Astrid","Cabral, Astrid",Author,,,,,
"Cabre, Jaume","Cabre, Jaume",Author,,,,,
"Calaferte, Louis","Calaferte, Louis",Author,,,,,
"Calderon, Emilio","Calderon, Emilio",Author,,,,,
"Calderon, Ruth","Calderon, Ruth",Author,,,,,
"Calonego, Bernadette","Calonego, Bernadette",Author,,,,,
"Calvetti, Paola","Calvetti, Paola",Author,,,,,
"Calvino, Italo","Calvino, Italo",Author,,,,,
"Calvo, Javier","Calvo, Javier",Author,,,,,
"Camenisch, Arno","Camenisch, Arno",Author,,,,,
"Camilleri, Andrea","Camilleri, Andrea",Author,,,,,
"Campo, Jesus del","Campo, Jesus del",Author,,,,,
"Cander, Mitja","Cander, Mitja",Author,,,,,
"Cankar, Ivan","Cankar, Ivan",Author,,,,,
"Cantieni, Monica","Cantieni, Monica",Author,,,,,
"Canty, Daniel","Canty, Daniel",Author,,,,,
"Cappellani, Ottavio","Cappellani, Ottavio",Author,,,,,
"Capus, Alex","Capus, Alex",Author,,,,,
"Cardenal, Ernesto","Cardenal, Ernesto",Author,,,,,
"Carlo, Elias","Carlo, Elias",Author,,,,,
"Carlotto, Massimo","Carlotto, Massimo",Author,,,,,
"Carofiglio, Gianrico","Carofiglio, Gianrico",Author,,,,,
"Carolan, Trevor","Carolan, Trevor",Author,,,,,
"Carrere, Emmanuel","Carrere, Emmanuel",Author,,,,,
"Carrero, Natalia","Carrero, Natalia",Author,,,,,
"Carrisi, Donato","Carrisi, Donato",Author,,,,,
"Cartarescu, Mircea","Cartarescu, Mircea",Author,,,,,
"Casariego, Nicolas","Casariego, Nicolas",Author,,,,,
"Casellas, Raimon","Casellas, Raimon",Author,,,,,
"Castel-Bloom, Orly","Castel-Bloom, Orly",Author,,,,,
"Castillon, Claire","Castillon, Claire",Author,,,,,
"Cauvin, Henry","Cauvin, Henry",Author,,,,,
"Cavafy, C. P.","Cavafy, C. P.",Author,,,,,
"Cavalli, Patrizia","Cavalli, Patrizia",Author,,,,,
"Ceder, Camilla","Ceder, Camilla",Author,,,,,
"Celine, Louis-Ferdinand","Celine, Louis-Ferdinand",Author,,,,,
"Celorio, Gonzalo","Celorio, Gonzalo",Author,,,,,
"Centeno, Israel","Centeno, Israel",Author,,,,,
"Cernuda, Luis","Cernuda, Luis",Author,,,,,
"Ceron, Rocio","Ceron, Rocio",Author,,,,,
"Cesaire, Aime","Cesaire, Aime",Author,,,,,
"Cesereanu, Ruxandra","Cesereanu, Ruxandra",Author,,,,,
"Chacel, Rosa","Chacel, Rosa",Author,,,,,
"Chaix, Marie","Chaix, Marie",Author,,,,,
"Chalandon, Sorj","Chalandon, Sorj",Author,,,,,
"Chan, Jeong","Chan, Jeong",Author,,,,,
"Chan, Koonchung","Chan, Koonchung",Author,,,,,
"Chao, Ramon","Chao, Ramon",Author,,,,,
"Char, Rene","Char, Rene",Author,,,,,
"Chateaureynaud, Georges-Olivier","Chateaureynaud, Georges-Olivier",Author,,,,,
"Chatterjee, Bankim Chandra","Chatterjee, Bankim Chandra",Author,,,,,
"Chaviano, Daina","Chaviano, Daina",Author,,,,,
"Chejfec, Sergio","Chejfec, Sergio",Author,,,,,
"Chekhov, Anton","Chekhov, Anton",Author,,,,,
"Cheng, Ah","Cheng, Ah",Author,,,,,
"Cheran, ","Cheran, ",Author,,,,,
"Chernyi, Sasha","Chernyi, Sasha",Author,,,,,
"Chessex, Jacques","Chessex, Jacques",Author,,,,,
"Chevallier, Gabriel","Chevallier, Gabriel",Author,,,,,
"Chevillard, Eric","Chevillard, Eric",Author,,,,,
"Chiaki, Kawamata","Chiaki, Kawamata",Author,,,,,
"Chimako, Tada","Chimako, Tada",Author,,,,,
"Chirinos, Eduardo","Chirinos, Eduardo",Author,,,,,
"Chitarroni, Luis","Chitarroni, Luis",Author,,,,,
"Chizhova, Elena","Chizhova, Elena",Author,,,,,
"Choi, In-ho","Choi, In-ho",Author,,,,,
"Choi, In-hun","Choi, In-hun",Author,,,,,
"Chong-hui, O","Chong-hui, O",Author,,,,,
"Chorin, Ethan","Chorin, Ethan",Author,,,,,
"Chreiteh, Alexandra","Chreiteh, Alexandra",Author,,,,,
"Christensen, Inger","Christensen, Inger",Author,,,,,
"Chuan, Weng","Chuan, Weng",Author,,,,,
"Chuan, Xi","Chuan, Xi",Author,,,,,
"Chung-hee, Moon","Chung-hee, Moon",Author,,,,,
"Cisneros, Antonio","Cisneros, Antonio",Author,,,,,
"Cixous, Helene","Cixous, Helene",Author,,,,,
"Claro, Christophe","Claro, Christophe",Author,,,,,
"Claudel, Philippe","Claudel, Philippe",Author,,,,,
"Claus, Hugo","Claus, Hugo",Author,,,,,
"Coelho, Paulo","Coelho, Paulo",Author,,,,,
"Cohen, Marcel","Cohen, Marcel",Author,,,,,
"Cohen, Thierry","Cohen, Thierry",Author,,,,,
"Collobert, Danielle","Collobert, Danielle",Author,,,,,
"Coloane, Francisco","Coloane, Francisco",Author,,,,,
"Colomer, Alvaro","Colomer, Alvaro",Author,,,,,
"Comencini, Christina","Comencini, Christina",Author,,,,,
"Comment, Bernard","Comment, Bernard",Author,,,,,
